binary,obf,struct,obj_class,rung,n,n_ambig,base_rate,U_entropy,U_bayes,U_entropy_ambig,U_bayes_ambig,beta_ambig,ece,auroc,align_ok,e_type,exec_vaddr,gt_n,ambig_provenance,resolve,n_clamp,status
gcc_coreutils_64_O2_ls_mixed,decoy-heavy,mixed,function-head,R3,,,0.1559,,,,,,0.1634,0.9484,True,2,4204928,16921,manifest.decoy_entries,True,0,ok
gcc_coreutils_64_O2_ls_mixed,decoy-heavy,mixed,instruction-start,R4,123824,18206,0.1366536374208554,0.12452981094639283,0.026407673866675013,0.23529751166525478,0.05366436284420561,0.9294188728990442,0.039305056999825866,0.9563129735748968,True,2,4204928,16921,manifest.decoy_entries,True,122,ok
gcc_coreutils_64_O2_ls_mixed,decoy-heavy,mixed,function-head,R4,,,0.1559,,,,,,0.1762,0.9791,True,2,4204928,16921,manifest.decoy_entries,True,122,ok
gcc_coreutils_64_O2_ls_mixed,decoy-heavy,mixed,instruction-start,R5,123824,18206,0.1366536374208554,0.1098923740129055,0.021670181415907663,0.17758978068367115,0.036791560913184605,0.9294188728990442,0.03436903553718891,0.9580960836983128,True,2,4204928,16921,manifest.decoy_entries,True,244,ok
gcc_coreutils_64_O2_ls_mixed,decoy-heavy,mixed,function-head,R5,,,0.1559,,,,,,0.1837,1.0,True,2,4204928,16921,manifest.decoy_entries,True,244,ok
gcc_coreutils_64_O2_ls_self-anchoring,decoy-heavy,self-anchoring,instruction-start,R0,123819,18142,0.13665915570308274,0.15404854797319698,0.030200068499758592,0.41249695439760725,0.08340464689187484,0.9326976077609965,0.10645908720332414,0.9192036247291411,True,2,4204928,16921,manifest.decoy_entries,False,0,ok
gcc_coreutils_64_O2_ls_self-anchoring,decoy-heavy,self-anchoring,instruction-start,R1,123819,,0.1367,,,,,,0.0583,0.7909,True,2,4204928,16921,manifest.decoy_entries,False,0,ok
gcc_coreutils_64_O2_ls_self-anchoring,decoy-heavy,self-anchoring,function-head,R0,,,0.0756,,,,,,0.1744,0.9536,True,2,4204928,16921,manifest.decoy_entries,False,0,ok
gcc_coreutils_64_O2_ls_self-anchoring,decoy-heavy,self-anchoring,instruction-start,R2,123819,18142,0.13665915570308274,0.15771706763166146,0.033364875553247235,0.4397762262412509,0.09655498467150005,0.9326976077609965,0.03871000242380238,0.9533036766536803,True,2,4204928,16921,manifest.decoy_entries,False,0,ok
gcc_coreutils_64_O2_ls_self-anchoring,decoy-heavy,self-anchoring,function-head,R2,,,0.0756,,,,,,0.1744,0.9536,True,2,4204928,16921,manifest.decoy_entries,False,0,ok
gcc_coreutils_64_O2_ls_self-anchoring,decoy-heavy,self-anchoring,instruction-start,R3,123819,18142,0.13665915570308274,0.15771706763166146,0.033364875553247235,0.4397762262412509,0.09655498467150005,0.9326976077609965,0.03871000242380238,0.9533036766536803,True,2,4204928,16921,manifest.decoy_entries,True,0,ok
gcc_coreutils_64_O2_ls_self-anchoring,decoy-heavy,self-anchoring,function-head,R3,,,0.0756,,,,,,0.1744,0.9536,True,2,4204928,16921,manifest.decoy_entries,True,0,ok
gcc_coreutils_64_O2_ls_self-anchoring,decoy-heavy,self-anchoring,instruction-start,R4,123819,18142,0.13665915570308274,0.15987461554512336,0.03397028176159638,0.4542217253478323,0.09919880802286533,0.9326976077609965,0.04316374583729344,0.9538325534575903,True,2,4204928,16921,manifest.decoy_entries,True,122,ok
gcc_coreutils_64_O2_ls_self-anchoring,decoy-heavy,self-anchoring,function-head,R4,,,0.0756,,,,,,0.1806,0.9819,True,2,4204928,16921,manifest.decoy_entries,True,122,ok
gcc_coreutils_64_O2_ls_self-anchoring,decoy-heavy,self-anchoring,instruction-start,R5,123819,18142,0.13665915570308274,0.10723517564180254,0.01836867826358596,0.27595503849040515,0.0478788113882437,0.9326976077609965,0.04002635147855688,0.9557662922785367,True,2,4204928,16921,manifest.decoy_entries,True,244,ok
gcc_coreutils_64_O2_ls_self-anchoring,decoy-heavy,self-anchoring,function-head,R5,,,0.0756,,,,,,0.1841,1.0,True,2,4204928,16921,manifest.decoy_entries,True,244,ok
desync_coreutils_64_O0_[,desync,desync,instruction-start,R0,161219,,0.2766795476959912,0.24192485321677945,0.06497451333967269,,,,0.21170503435631846,0.9625977012011596,True,3,8192,44606,none,False,0,ok
desync_coreutils_64_O0_[,desync,desync,instruction-start,R1,161219,,0.2767,,,,,,0.1246,0.8463,True,3,8192,44606,none,False,0,ok
desync_coreutils_64_O0_[,desync,desync,instruction-start,R2,161219,,0.2766795476959912,0.24418587943241404,0.0745288662990544,,,,0.06467206181834856,0.9639044819822479,True,3,8192,44606,none,False,0,ok
desync_coreutils_64_O0_[,desync,desync,instruction-start,R3,161219,,0.2766795476959912,0.28161457758740666,0.0963074978925291,,,,0.06361937844702353,0.9690151545139438,True,3,8192,44606,none,True,0,ok
desync_coreutils_64_O0_b2sum,desync,desync,instruction-start,R0,112367,,0.2915357711783709,0.2047846272459893,0.04865341114803691,,,,0.24288236003033395,0.9632404272172695,True,3,8192,32759,none,False,0,ok
desync_coreutils_64_O0_b2sum,desync,desync,instruction-start,R1,112367,,0.2915,,,,,,0.1515,0.9217,True,3,8192,32759,none,False,0,ok
desync_coreutils_64_O0_b2sum,desync,desync,instruction-start,R2,112367,,0.2915357711783709,0.26253001234518003,0.080561336439765,,,,0.052181276566057345,0.9645818570567195,True,3,8192,32759,none,False,0,ok
desync_coreutils_64_O0_b2sum,desync,desync,instruction-start,R3,112367,,0.2915357711783709,0.2925845088422553,0.09654404519743254,,,,0.04716198260455701,0.9646267502529543,True,3,8192,32759,none,True,0,ok
desync_coreutils_64_O0_base32,desync,desync,instruction-start,R0,54652,,0.29437166068945325,0.26599572648620107,0.07309934893019636,,,,0.2212723117592569,0.9600151450885909,True,3,8192,16088,none,False,0,ok
desync_coreutils_64_O0_base32,desync,desync,instruction-start,R1,54652,,0.2944,,,,,,0.105,0.879,True,3,8192,16088,none,False,0,ok
desync_coreutils_64_O0_base32,desync,desync,instruction-start,R2,54652,,0.29437166068945325,0.23192677929643818,0.06263259878239737,,,,0.17767259664545934,0.9619987476435873,True,3,8192,16088,none,False,0,ok
desync_coreutils_64_O0_base32,desync,desync,instruction-start,R3,54652,,0.29437166068945325,0.3351285912949779,0.12439150943777666,,,,0.16998015125167312,0.9628152331428259,True,3,8192,16088,none,True,0,ok
desync_coreutils_64_O0_base64,desync,desync,instruction-start,R0,53160,,0.293359668924003,0.26421676713969494,0.07260861332095077,,,,0.2207510556030522,0.9603280563556246,True,3,8192,15595,none,False,0,ok
desync_coreutils_64_O0_base64,desync,desync,instruction-start,R1,53160,,0.2934,,,,,,0.1086,0.8739,True,3,8192,15595,none,False,0,ok
desync_coreutils_64_O0_base64,desync,desync,instruction-start,R2,53160,,0.293359668924003,0.23125027967446513,0.06244817480473514,,,,0.09355454298330532,0.9622299925400226,True,3,8192,15595,none,False,0,ok
desync_coreutils_64_O0_base64,desync,desync,instruction-start,R3,53160,,0.293359668924003,0.3417758190112468,0.13306277228163577,,,,0.1602968966423664,0.9628462948074998,True,3,8192,15595,none,True,0,ok
