offset,addr,cavity_q,local_m,residual,surprise,event,label
43532,0xcd7c,0.00000,0.20000,20.00100,0.22314,0,0
43533,0xcd7d,0.00000,0.20000,20.00100,0.22314,0,0
43534,0xcd7e,0.91690,1.00000,0.30106,0.08676,0,1
43535,0xcd7f,0.00000,0.20000,20.00100,0.22314,0,0
43536,0xcd80,0.00000,0.20000,20.00100,0.22314,0,0
43537,0xcd81,0.00000,0.20000,20.00100,0.22314,0,0
43538,0xcd82,0.00000,0.92453,92.45745,2.58400,0,0
43539,0xcd83,0.99999,1.00000,0.00095,0.00001,0,1
43540,0xcd84,0.00000,0.20000,20.00100,0.22314,0,0
43541,0xcd85,0.00000,0.92453,92.45745,2.58400,0,0
