name,role,n,base_rate,code_bytes,region_entropy,ece_calibrated,ece_raw,s_glob_surprise,s_glob_nis,s_spat_moran,s_spat_clustered,mean_nis,frac_super,b_mean_pi,b_pred_entropy,b_msp,b_mean_abs_llr,level
desync_coreutils_64_O0_unlink,desync,128072,0.255021,139186,6.5170,0.122573,0.122028,44.150156,1014.917410,0.216300,0.121920,1014.917410,0.042781,0.371581,0.004724,0.997976,3994.536032,d3_max
desync_coreutils_64_O0_link,desync,129928,0.254533,141170,6.5141,0.123727,0.123429,43.591781,1009.773829,0.218997,0.115998,1009.773829,0.042000,0.372356,0.004807,0.997950,4287.245957,d3_max
desync_coreutils_64_O0_logname,desync,126777,0.254936,137666,6.5141,0.124240,0.123950,45.511459,1036.754097,0.220661,0.110502,1036.754097,0.044614,0.373627,0.004645,0.998027,4522.038215,d3_max
desync_coreutils_64_O0_runcon,desync,136665,0.255303,148386,6.5052,0.122933,0.122828,43.699582,1019.312924,0.219939,0.119165,1019.312924,0.043105,0.370802,0.005588,0.997615,4474.461909,d3_max
desync_coreutils_64_O0_make-prime-list,desync,16435,0.249407,17816,6.5574,0.125581,0.125354,23.662645,1043.500573,0.221888,0.138284,1043.500573,0.047521,0.373573,0.004202,0.998306,647.461048,d3_max
desync_coreutils_64_O0_nproc,desync,141563,0.255434,153698,6.5152,0.123195,0.123048,43.605798,1013.300702,0.221079,0.116656,1013.300702,0.042327,0.372634,0.004805,0.997954,5157.227252,d3_max
desync_coreutils_64_O0_sync,desync,138195,0.254604,150098,6.5120,0.124076,0.123620,45.024899,1032.036619,0.219068,0.106355,1032.036619,0.043952,0.374232,0.004622,0.998059,5163.441382,d3_max
desync_coreutils_64_O0_nice,desync,141539,0.255025,153938,6.5148,0.122992,0.122904,42.012047,1002.674996,0.214639,0.111944,1002.674996,0.040519,0.369339,0.006265,0.997351,5329.427333,d3_max
desync_coreutils_64_O0_uname,desync,129949,0.254515,141122,6.5131,0.123192,0.122806,43.227803,1011.060384,0.223887,0.108529,1011.060384,0.042047,0.370964,0.005389,0.997710,3905.511497,d3_max
desync_coreutils_64_O0_tty,desync,123543,0.255514,134194,6.5134,0.121773,0.121258,41.971820,1002.954780,0.218304,0.104498,1002.954780,0.040666,0.368777,0.005974,0.997441,4009.706716,d3_max
desync_coreutils_64_O0_printenv,desync,125466,0.255543,136178,6.5125,0.123568,0.123425,42.104733,1007.881768,0.212904,0.100298,1007.881768,0.040130,0.370405,0.005258,0.997742,4874.837131,d3_max
desync_coreutils_64_O0_groups,desync,144610,0.254332,156946,6.5123,0.122575,0.122275,45.318726,1039.268906,0.222234,0.122661,1039.268906,0.043973,0.373018,0.004169,0.998194,5950.926467,d3_max
desync_coreutils_64_O0_basename,desync,134291,0.255170,145730,6.5184,0.123910,0.123789,43.617765,1019.915624,0.212756,0.103661,1019.915624,0.042311,0.371971,0.005204,0.997834,5000.952832,d3_max
desync_coreutils_64_O0_true,desync,121332,0.255802,131746,6.5148,0.122393,0.121884,43.799711,1015.843377,0.217367,0.106709,1015.843377,0.042017,0.373060,0.004266,0.998198,4558.686418,d3_max
desync_coreutils_64_O0_false,desync,121184,0.256098,131602,6.5126,0.121681,0.121628,41.191768,994.522605,0.213767,0.118928,994.522605,0.039411,0.368952,0.005950,0.997445,3671.103310,d3_max
desync_coreutils_64_O0_sleep,desync,142231,0.254431,154418,6.5229,0.123263,0.122785,42.864913,1006.234330,0.214692,0.099596,1006.234330,0.041721,0.371126,0.004887,0.997927,4172.832740,d3_max
desync_coreutils_64_O0_dirname,desync,129291,0.254960,140290,6.5179,0.123096,0.122796,43.152943,1016.620608,0.219648,0.115285,1016.620608,0.041797,0.370745,0.005447,0.997647,3877.213777,d3_max
desync_coreutils_64_O0_echo,desync,131693,0.255944,142930,6.5128,0.124348,0.124274,42.834541,1018.920619,0.218979,0.102229,1018.920619,0.041225,0.371426,0.005547,0.997644,3395.576138,d3_max
desync_coreutils_64_O0_hostid,desync,125650,0.254636,136546,6.5125,0.122700,0.122240,43.198560,1019.602424,0.215586,0.107949,1019.602424,0.041950,0.369963,0.005663,0.997627,3224.444399,d3_max
desync_coreutils_64_O0_pathchk,desync,141514,0.253735,153794,6.5140,0.125154,0.124707,44.797070,1029.289959,0.223638,0.116290,1029.289959,0.043508,0.373615,0.004788,0.997986,5565.845769,d3_max
ls_packed,packed,45567,0.000000,52739,7.8887,0.365597,0.329270,1.202726,435.896029,0.189167,0.120192,435.896029,0.013694,0.330918,0.129967,0.948375,6.842230,upx
base64_upx_nrv__nrv,packed,16654,0.000000,19498,7.8037,0.364767,0.317922,1.078340,407.758890,0.200008,0.142857,407.758890,0.018074,0.326522,0.135618,0.947166,7.212020,nrv
