name,arm,program,packer,build,packed,n,code_bytes,region_ent,s_glob,s_spat,t_n,fire_flat,fire_tn,rule_pick,guard_pick,rule_pick_tn,guard_pick_tn,gt_kind,ece_always_benign,ece_oracle,ece_rule,ece_guard
k04.upxlzma,ladder_packed,k04,upxlzma,freestanding_O2_g_nopie,True,6302,6910,7.818022,0.735514,0.116839,0.152829,true,false,packed,packed,benign,benign,provable_data,,,,
k06.upxlzma,ladder_packed,k06,upxlzma,freestanding_O2_g_nopie,True,6514,7150,7.817910,0.709386,0.120754,0.151458,true,false,packed,packed,benign,benign,provable_data,,,,
k08.upxlzma,ladder_packed,k08,upxlzma,freestanding_O2_g_nopie,True,6961,7630,7.814648,0.912807,0.118371,0.148774,true,false,packed,packed,benign,benign,provable_data,,,,
k10.upxlzma,ladder_packed,k10,upxlzma,freestanding_O2_g_nopie,True,8271,9094,7.809581,0.957141,0.108748,0.142203,true,false,packed,packed,benign,benign,provable_data,,,,
k12.upxlzma,ladder_packed,k12,upxlzma,freestanding_O2_g_nopie,True,8775,9654,7.812684,0.993905,0.121497,0.140077,true,false,packed,packed,benign,benign,provable_data,,,,
k01.upxnrv,ladder_packed,k01,upxnrv,freestanding_O2_g_nopie,True,3299,3717,7.646486,1.245256,0.237699,0.184774,true,true,packed,packed,packed,packed,provable_data,,,,
k02.upxnrv,ladder_packed,k02,upxnrv,freestanding_O2_g_nopie,True,3538,3981,7.612449,1.159745,0.223109,0.180804,true,true,packed,packed,packed,packed,provable_data,,,,
k03.upxnrv,ladder_packed,k03,upxnrv,freestanding_O2_g_nopie,True,3921,4421,7.632292,1.108522,0.203489,0.175214,true,true,packed,packed,packed,packed,provable_data,,,,
k04.upxnrv,ladder_packed,k04,upxnrv,freestanding_O2_g_nopie,True,4103,4629,7.654317,1.077471,0.201881,0.172837,true,true,packed,packed,packed,packed,provable_data,,,,
k06.upxnrv,ladder_packed,k06,upxnrv,freestanding_O2_g_nopie,True,4332,4877,7.645038,1.043853,0.200635,0.170062,true,true,packed,packed,packed,packed,provable_data,,,,
k08.upxnrv,ladder_packed,k08,upxnrv,freestanding_O2_g_nopie,True,4768,5357,7.641387,1.279594,0.189711,0.165341,true,true,packed,packed,packed,packed,provable_data,,,,
k10.upxnrv,ladder_packed,k10,upxnrv,freestanding_O2_g_nopie,True,6072,6829,7.642775,1.287685,0.183143,0.154398,true,true,packed,packed,packed,packed,provable_data,,,,
k12.upxnrv,ladder_packed,k12,upxnrv,freestanding_O2_g_nopie,True,6597,7405,7.641387,1.230207,0.183569,0.150939,true,true,packed,packed,packed,packed,provable_data,,,,
u01.kite,minu_packed,u01,kite,freestanding_O2_g_nopie_minlayout,True,14297,15707,5.974718,0.473624,0.102943,0.124734,false,false,benign,benign,benign,benign,routing_only,,,,
u02.kite,minu_packed,u02,kite,freestanding_O2_g_nopie_minlayout,True,14358,15773,5.974718,0.479323,0.103951,0.124616,false,false,benign,benign,benign,benign,routing_only,,,,
u03.kite,minu_packed,u03,kite,freestanding_O2_g_nopie_minlayout,True,14414,15856,5.974718,0.484592,0.100856,0.124508,false,false,benign,benign,benign,benign,routing_only,,,,
u04.kite,minu_packed,u04,kite,freestanding_O2_g_nopie_minlayout,True,14484,15922,5.974718,0.491372,0.104102,0.124374,false,false,benign,benign,benign,benign,routing_only,,,,
u06.kite,minu_packed,u06,kite,freestanding_O2_g_nopie_minlayout,True,14604,16054,5.974718,0.509931,0.102885,0.124147,false,false,benign,benign,benign,benign,routing_only,,,,
u08.kite,minu_packed,u08,kite,freestanding_O2_g_nopie_minlayout,True,14722,16186,5.974718,0.498310,0.103947,0.123927,false,false,benign,benign,benign,benign,routing_only,,,,
u10.kite,minu_packed,u10,kite,freestanding_O2_g_nopie_minlayout,True,14890,16401,7.281479,0.516298,0.107416,0.123617,true,false,packed,packed,benign,benign,routing_only,,,,
u12.kite,minu_packed,u12,kite,freestanding_O2_g_nopie_minlayout,True,15207,16797,7.295571,0.534483,0.111165,0.123047,true,false,packed,packed,benign,benign,provable_data,,,,
u06.upxlzma,minu_packed,u06,upxlzma,freestanding_O2_g_nopie_minlayout,True,6732,7358,7.817834,0.668976,0.142834,0.150115,true,false,packed,packed,benign,benign,provable_data,,,,
u08.upxlzma,minu_packed,u08,upxlzma,freestanding_O2_g_nopie_minlayout,True,7240,7894,7.825087,0.866004,0.115765,0.147226,true,false,packed,packed,benign,benign,provable_data,,,,
u10.upxlzma,minu_packed,u10,upxlzma,freestanding_O2_g_nopie_minlayout,True,8615,9470,7.818022,0.930329,0.147052,0.140731,true,true,packed,packed,packed,packed,provable_data,,,,
u12.upxlzma,minu_packed,u12,upxlzma,freestanding_O2_g_nopie_minlayout,True,9217,10126,7.809420,0.886101,0.143356,0.138357,true,true,packed,packed,packed,packed,provable_data,,,,
