name,regime,sublabel,n,code_bytes,base_rate,ece_always_benign,ece_oracle,ece_mmae,ece_clf,ece_rule,ece_guard,region_ent,mmae_pick,mmae_nis_pick,clf_pick,rule_pick,guard_pick,s_glob_benign_eng,s_spat_benign_eng,s_glob_packed_eng,s_glob_obf_eng,nis_benign_eng,nis_packed_eng,nis_obf_eng
icc_coreutils_64_O2_csplit,benign,clean,76132,83228,0.267811,0.002373,0.002373,0.267811,0.002373,0.002373,0.002373,6.209081,packed,packed,benign,benign,benign,0.669180,0.072882,0.669171,0.971315,482.139072,482.131530,836.923197
icc_coreutils_64_O3_link,benign,clean,22760,24732,0.263752,0.003923,0.003923,0.003923,0.003923,0.003923,0.003923,6.175058,benign,benign,benign,benign,benign,0.646420,0.073418,0.646420,0.941330,466.401715,466.401715,807.876908
icc_coreutils_64_O1_setuidgid,benign,clean,16168,17548,0.275297,0.001840,0.001840,0.001840,0.001840,0.001840,0.001840,6.148939,benign,benign,benign,benign,benign,0.594171,0.062371,0.594171,0.882500,413.298130,413.298130,762.424061
gcc_coreutils_64_O2_fmt,benign,clean,19828,21852,0.278445,0.002641,0.002641,0.278445,0.002641,0.002641,0.002641,6.423439,packed,packed,benign,benign,benign,0.737304,0.087344,0.736791,1.034786,549.224417,548.649212,872.280060
gcc_coreutils_64_O3_chmod,benign,clean,42559,46524,0.269273,0.001604,0.001604,0.001604,0.001604,0.001604,0.001604,6.273841,benign,benign,benign,benign,benign,0.671521,0.090022,0.671521,0.963968,472.793090,472.793090,816.070525
icc_coreutils_64_O3_sha512sum,benign,clean,43017,46684,0.274473,0.001506,0.001506,0.274473,0.001506,0.001506,0.001506,6.215693,packed,packed,benign,benign,benign,0.632451,0.077653,0.632254,0.920430,427.892179,427.756671,789.550329
gcc_coreutils_64_O3_od,benign,clean,46566,51196,0.267083,0.004248,0.004248,0.267083,0.004248,0.004248,0.004248,6.404938,packed,packed,benign,benign,benign,0.610178,0.085450,0.610114,0.868612,368.248611,368.191373,689.619687
icc_coreutils_64_O3_tac,benign,clean,97424,105772,0.260028,0.002471,0.002471,0.260028,0.002471,0.002471,0.002471,6.282096,packed,packed,benign,benign,benign,0.592373,0.062009,0.592373,0.889263,438.752423,438.752220,805.175280
icc_coreutils_64_O0_groups,benign,clean,19951,22028,0.299784,0.004526,0.004526,0.004526,0.004526,0.004526,0.004526,5.653574,benign,packed,benign,benign,benign,0.994927,0.045779,0.994927,1.267988,523.532927,523.532927,851.167509
icc_coreutils_64_O2_groups,benign,clean,15811,17420,0.282904,0.005917,0.005917,0.005917,0.005917,0.005917,0.005917,6.198934,benign,benign,benign,benign,benign,0.661486,0.084048,0.661486,0.938464,466.972490,466.972490,787.819535
gcc_coreutils_64_O0_rm,benign,clean,42924,47288,0.299832,0.002079,0.002079,0.002079,0.002079,0.002079,0.002079,5.828827,benign,benign,benign,benign,benign,0.981913,0.080946,0.981913,1.245632,433.804371,433.804371,772.960835
icc_coreutils_64_O3_uniq,benign,clean,30168,32908,0.270585,0.001880,0.001880,0.001880,0.001880,0.001880,0.001880,6.312151,benign,packed,benign,benign,benign,0.586627,0.069860,0.586627,0.873908,418.902671,418.902671,764.131206
gcc_coreutils_64_O1_env,benign,clean,14054,15180,0.274868,0.004122,0.004122,0.004122,0.004122,0.004122,0.004122,6.123443,benign,benign,benign,benign,benign,0.633543,0.075289,0.633543,0.933154,443.087353,443.087353,794.692016
icc_coreutils_64_O1_unexpand,benign,clean,15783,17068,0.272255,0.002309,0.002309,0.002309,0.002309,0.002309,0.002309,6.157139,benign,benign,benign,benign,benign,0.591607,0.063812,0.591607,0.885738,416.440649,416.440649,774.636693
gcc_coreutils_64_O2_cat,benign,clean,29904,32908,0.266219,0.001768,0.001768,0.001768,0.001768,0.001768,0.001768,6.142903,benign,benign,benign,benign,benign,0.635178,0.073646,0.635178,0.915256,452.261876,452.261876,793.731468
icc_coreutils_64_O2_dd,benign,clean,30892,33916,0.273793,0.001852,0.001852,0.001852,0.001852,0.001852,0.001852,6.273282,benign,benign,benign,benign,benign,0.618305,0.063621,0.618305,0.894627,411.052943,411.052943,749.260853
gcc_coreutils_64_O0_who,benign,clean,41015,46576,0.285237,0.003765,0.003765,0.285237,0.285237,0.285237,0.003765,5.899799,packed,benign,packed,packed,benign,0.860906,0.115107,0.860906,1.095483,408.740534,408.740534,715.176784
gcc_coreutils_64_O1_ptx,benign,clean,88763,95468,0.263038,0.000896,0.000896,0.263038,0.000896,0.000896,0.000896,6.231277,packed,packed,benign,benign,benign,0.624967,0.025852,0.624925,0.922988,435.271101,435.232109,818.048298
icc_coreutils_64_O1_hostid,benign,clean,13721,14796,0.273814,0.002770,0.002770,0.002770,0.002770,0.002770,0.002770,6.144950,benign,benign,benign,benign,benign,0.594778,0.067570,0.594778,0.887994,405.705626,405.705626,752.413983
icc_coreutils_64_O1_yes,benign,clean,13830,14924,0.274259,0.002275,0.002275,0.002275,0.002275,0.002275,0.002275,6.154288,benign,benign,benign,benign,benign,0.595263,0.078201,0.595263,0.889170,407.749456,407.749456,756.410082
icc_coreutils_64_O0_realpath,benign,clean,41374,45832,0.296346,0.002377,0.002377,0.002377,0.002377,0.002377,0.002377,5.681629,benign,benign,benign,benign,benign,0.924550,0.073631,0.924550,1.182590,407.494399,407.494399,746.509004
icc_coreutils_64_O1_sum,benign,clean,18611,20060,0.280103,0.002755,0.002755,0.002755,0.002755,0.002755,0.002755,6.191489,benign,benign,benign,benign,benign,0.648319,0.060142,0.648319,0.949156,458.141451,458.141451,814.377883
gcc_coreutils_64_O3_dirname,benign,clean,22676,24732,0.266802,0.002756,0.002756,0.002756,0.002756,0.002756,0.002756,6.362160,benign,benign,benign,benign,benign,0.614947,0.064135,0.614947,0.902579,439.232837,439.232837,778.860931
icc_coreutils_64_O1_test,benign,clean,13614,14876,0.285441,0.003208,0.003208,0.003208,0.003208,0.003208,0.003208,6.101616,benign,benign,benign,benign,benign,0.754432,0.070436,0.754432,1.054320,508.834593,508.834593,853.457230
icc_coreutils_64_O1_wc,benign,clean,19353,20780,0.269674,0.001499,0.001499,0.001499,0.001499,0.001499,0.001499,6.190157,benign,benign,benign,benign,benign,0.685314,0.073265,0.685314,0.999922,487.511153,487.511153,849.531786
icc_coreutils_64_O3_mknod,benign,clean,26161,28492,0.267956,0.002977,0.002977,0.002977,0.002977,0.002977,0.002977,6.316018,benign,benign,benign,benign,benign,0.596379,0.074496,0.596379,0.883917,414.989095,414.989095,757.795043
gcc_coreutils_64_O3_tee,benign,clean,23787,25852,0.266826,0.001637,0.001637,0.001637,0.001637,0.001637,0.001637,6.192721,benign,benign,benign,benign,benign,0.581081,0.059728,0.581081,0.864443,420.106134,420.106134,760.078963
